state_name,district_name,cattle,buffalo,bovines_total,species_richness,avg_herd_per_record,bov_norm,herd_norm,rich_norm,priority_score,rank,cluster,segment
Tamil Nadu,Villupuram,873822,8942,882764,9,882764,0.3052039244965648,0.3052039244965648,0.875,0.36218353204690834,68,0,Segment_1
Gujarat,KHEDA,265460,616160,881620,9,881620,0.3048083071346341,0.3048083071346341,0.875,0.3618274764211707,69,0,Segment_1
Madhya Pradesh,CHHINDWARA,712157,167074,879231,9,879231,0.3039821446541685,0.3039821446541685,0.875,0.3610839301887517,70,0,Segment_1
Rajasthan,Ganganagar,636702,200125,836827,10,836827,0.28931801999043466,0.28931801999043466,1.0,0.36038621799139114,71,0,Segment_1
Uttar Pradesh,Barabanki,324762,508830,833592,10,833592,0.28819929432098884,0.28819929432098884,1.0,0.35937936488889,72,0,Segment_1
Andhra Pradesh,West Godavari,201102,627909,829011,10,829011,0.28661509577640426,0.28661509577640426,1.0,0.35795358619876383,73,0,Segment_1
West Bengal,Hooghly,912745,35229,947974,7,947974,0.32775480576536226,0.32775480576536226,0.625,0.357479325188826,74,0,Segment_1
Uttar Pradesh,Shahjahanpur,261143,605387,866530,9,866530,0.29958989280636916,0.29958989280636916,0.875,0.3571309035257323,75,0,Segment_1
Uttar Pradesh,Gonda,378420,438171,816591,10,816591,0.282320019172226,0.282320019172226,1.0,0.3540880172550034,76,0,Segment_1
Uttar Pradesh,Rae Bareli,391858,463692,855550,9,855550,0.29579279609832754,0.29579279609832754,0.875,0.3537135164884948,77,0,Segment_1
Uttar Pradesh,Fatehpur,162813,647503,810316,10,810316,0.28015000261093626,0.28015000261093626,1.0,0.35213500234984263,78,0,Segment_1
Uttar Pradesh,Firozabad,164313,645558,809871,10,809871,0.2799961129902552,0.2799961129902552,1.0,0.35199650169122965,79,0,Segment_1
Madhya Pradesh,KHARGONE,612923,274497,887420,8,887420,0.3068140594940732,0.3068140594940732,0.75,0.3511326535446659,80,0,Segment_1
Rajasthan,Jalore,299259,587826,887085,8,887085,0.30669821000434694,0.30669821000434694,0.75,0.35102838900391226,81,0,Segment_1
Uttar Pradesh,Mirzapur,511188,287582,798770,10,798770,0.27615717213816315,0.27615717213816315,1.0,0.34854145492434685,82,0,Segment_1
Madhya Pradesh,MORENA,108548,685578,794126,10,794126,0.2745511869731226,0.2745511869731226,1.0,0.3470960682758103,83,0,Segment_1
West Bengal,Nadia,816780,17157,833937,9,833937,0.28831860200443826,0.28831860200443826,0.875,0.34698674180399447,84,0,Segment_1
Bihar,Banka,719136,112126,831262,9,831262,0.28739353518349003,0.28739353518349003,0.875,0.34615418166514106,85,0,Segment_1
Uttar Pradesh,Mathura,214236,576556,790792,10,790792,0.2733982251858174,0.2733982251858174,1.0,0.34605840266723564,86,0,Segment_1
Uttar Pradesh,Kanpur Dehat,181231,602713,783944,10,783944,0.27103005412418996,0.27103005412418996,1.0,0.34392704871177093,87,0,Segment_1
Madhya Pradesh,SATNA,579909,244153,824062,9,824062,0.28490363570280697,0.28490363570280697,0.875,0.3439132721325263,88,0,Segment_1
Andhra Pradesh,Anantapur,497102,285443,782545,10,782545,0.27054625282231837,0.27054625282231837,1.0,0.34349162754008655,89,0,Segment_1
Madhya Pradesh,SHIVPURI,369906,411008,780914,10,780914,0.2699822214260692,0.2699822214260692,1.0,0.34298399928346224,90,0,Segment_1
Bihar,Katihar,723503,95745,819248,9,819248,0.2832388612444725,0.2832388612444725,0.875,0.3424149751200253,91,0,Segment_1
Bihar,Patna,452997,325831,778828,10,778828,0.26926084221541574,0.26926084221541574,1.0,0.34233475799387414,92,0,Segment_1
Maharashtra,Sangli,324756,493998,818754,9,818754,0.2830680264745479,0.2830680264745479,0.875,0.3422612238270931,93,0,Segment_1
Bihar,Purbi Champaran,403669,372782,776451,10,776451,0.268438829567418,0.268438829567418,1.0,0.34159494661067613,94,0,Segment_1
Gujarat,MAHESANA,323858,488302,812160,9,812160,0.280787693533489,0.280787693533489,0.875,0.3402089241801401,95,0,Segment_1
Rajasthan,Dungarpur,431401,329357,760758,10,760758,0.2630118861576459,0.2630118861576459,1.0,0.3367106975418813,96,0,Segment_1
Uttar Pradesh,Meerut,244585,515704,760289,10,760289,0.2628496968720292,0.2628496968720292,1.0,0.33656472718482633,97,0,Segment_1
Gujarat,SABAR KANTHA,459921,417008,876929,7,876929,0.30318606845909457,0.30318606845909457,0.625,0.3353674616131851,98,0,Segment_1
Jharkhand,Dumka,747624,48090,795714,9,795714,0.27510034813636214,0.27510034813636214,0.875,0.33509031332272593,99,0,Segment_1
Uttar Pradesh,Muzaffarnagar,291224,459747,750971,10,750971,0.2596273519607786,0.2596273519607786,1.0,0.3336646167647007,100,0,Segment_1
Madhya Pradesh,BETUL,573205,173775,746980,10,746980,0.25824718684586107,0.25824718684586107,1.0,0.33242246816127496,101,0,Segment_1
Jharkhand,Godda,684653,96016,780669,9,780669,0.2698974956798515,0.2698974956798515,0.875,0.33040774611186635,102,0,Segment_1
Uttar Pradesh,Saharanpur,266504,471973,738477,10,738477,0.25530668472304885,0.25530668472304885,1.0,0.32977601625074393,103,0,Segment_1
Andhra Pradesh,Kurnool,356122,419855,775977,9,775977,0.26827491118493973,0.26827491118493973,0.875,0.3289474200664458,104,0,Segment_1
Uttar Pradesh,Mainpuri,139639,592912,732551,10,732551,0.25325735912269776,0.25325735912269776,1.0,0.327931623210428,105,0,Segment_1
Uttar Pradesh,Amroha,216649,514547,731196,10,731196,0.2527887738732081,0.2527887738732081,1.0,0.32750989648588724,106,0,Segment_1
Bihar,Jamui,636265,132519,768784,9,768784,0.26578743243986286,0.26578743243986286,0.875,0.3267086891958766,107,0,Segment_1
Uttar Pradesh,Bahraich,343265,424265,767530,9,767530,0.26535377494697726,0.26535377494697726,0.875,0.32631839745227953,108,0,Segment_1
Chhattisgarh,Rajnandgaon,746200,60832,807032,8,807032,0.27901433179224694,0.27901433179224694,0.75,0.32611289861302223,109,0,Segment_1
Bihar,Muzaffarpur,425801,296568,722369,10,722369,0.24973622627376516,0.24973622627376516,1.0,0.32476260364638865,110,0,Segment_1
Jharkhand,Palamu,666463,94442,760905,9,760905,0.2630627216053765,0.2630627216053765,0.875,0.3242564494448389,111,0,Segment_1
